Requirement ID,Requirement Category,Requirement Description,Priority,Design Reference,Implementation File(s),Test Case ID,Status,Notes
VAL-005,Validation,Start Date Validation,High,Architecture Doc Section 9.1,frontend/src/pages/CreateFD.jsx,TC-VAL-005,Implemented,Required valid date
VAL-006,Validation,Closure Date Validation,High,Architecture Doc Section 9.2,frontend/src/pages/FDDetails.jsx,TC-VAL-006,Implemented,After start before maturity
VAL-007,Validation,Username Validation,High,Architecture Doc Section 9.3,frontend/src/pages/UserManagement.jsx,TC-VAL-007,Implemented,3-50 chars alphanumeric unique
VAL-008,Validation,Password Validation,High,Architecture Doc Section 9.3,frontend/src/pages/UserManagement.jsx,TC-VAL-008,Implemented,Minimum 6 characters
CALC-001,Calculations,Maturity Date Calculation,High,FRD Section 4.3,backend/calculations.py,TC-CALC-004,Implemented,Based on tenure and start date
CALC-002,Calculations,Premature Closure - Days Held,High,FRD Section 4.4,backend/calculations.py,TC-CALC-005,Implemented,Difference between dates
CALC-003,Calculations,Premature Closure - Accrued Interest,High,FRD Section 4.4,backend/calculations.py,TC-CALC-006,Implemented,Pro-rated interest calculation
CALC-004,Calculations,Premature Closure - Penalty Amount,High,FRD Section 4.4,backend/calculations.py,TC-CALC-007,Implemented,Percentage of accrued interest
CALC-005,Calculations,Premature Closure - Net Payout,High,FRD Section 4.4,backend/calculations.py,TC-CALC-008,Implemented,Principal + net interest
DOC-001,Documentation,Functional Requirements Document,High,N/A,Functional_Requirements_Document.md,N/A,Completed,Comprehensive FRD created
DOC-002,Documentation,Architecture Document,High,N/A,Architecture_Document.md,N/A,Completed,Technical architecture documented
DOC-003,Documentation,Architecture Diagram,Medium,N/A,Architecture_Diagram.txt,N/A,Completed,ASCII diagram created
DOC-004,Documentation,Requirements Traceability Matrix,Medium,N/A,Requirements_Traceability_Matrix.csv,N/A,Completed,This document
